time,open,high,low,close,Volume
2020-04-01,5560,5750,5425,5480,152831500
2020-04-02,5470,5470,5360,5410,136623500
2020-04-03,5460,5530,5365,5495,110506000
2020-04-06,5520,5740,5495,5735,78184000
2020-04-07,5735,6100,5580,5655,149153500
2020-04-08,5655,5660,5480,5635,106111500
2020-04-09,5600,5695,5500,5595,89997000
2020-04-13,5540,5615,5480,5500,58043000
2020-04-14,5505,5590,5445,5515,95796000
2020-04-15,5515,5630,5445,5485,95342000
2020-04-16,5485,5520,5185,5240,176990500
2020-04-17,5300,5445,5280,5425,160935500
2020-04-20,5430,5500,5330,5355,90744000
2020-04-21,5355,5355,5160,5160,73431000
2020-04-22,5160,5235,5045,5145,107263500
2020-04-23,5180,5245,5120,5120,105419500
2020-04-24,5120,5140,4920,4920,131149500
2020-04-27,4940,5020,4855,4960,151103500
2020-04-28,4960,4975,4805,4830,180488000
2020-04-29,4825,4850,4800,4850,121161000
2020-04-30,4880,5250,4880,5170,174081000
2020-05-04,5150,5300,5000,5220,114497500
2020-05-05,5220,5340,5200,5285,118643500
2020-05-06,5315,5370,5300,5355,86395500
2020-05-08,5345,5400,5150,5245,123028000
2020-05-11,5245,5325,5245,5295,40615500
2020-05-12,5340,5340,5030,5220,118660000
2020-05-13,5160,5170,5085,5110,94973000
2020-05-14,5070,5110,4905,4920,131268000
2020-05-15,4920,4995,4680,4785,205790000
2020-05-18,4800,4845,4750,4765,139997500
2020-05-19,4840,4960,4680,4680,128504500
2020-05-20,4720,4800,4690,4765,119158000
2020-05-26,4775,5000,4775,4970,176076500
2020-05-27,4970,5000,4855,4965,151753500
2020-05-28,5000,5320,5000,5295,229233000
2020-05-29,5295,5295,5190,5190,399414000
2020-06-02,5260,5500,5240,5360,181369500
2020-06-03,5410,5780,5400,5780,279673500
2020-06-04,5780,5990,5600,5790,236158500
2020-06-05,5790,5855,5585,5725,88157500
2020-06-08,5755,5925,5755,5900,173557500
2020-06-09,5940,5995,5795,5805,100110000
2020-06-10,5800,5865,5595,5800,115382500
2020-06-11,5750,5810,5605,5680,85187500
2020-06-12,5680,5680,5480,5670,96044000
2020-06-15,5680,5710,5500,5500,100844500
2020-06-16,5580,5795,5580,5760,91518500
2020-06-17,5800,5800,5680,5720,79800000
2020-06-18,5720,5740,5585,5585,68032000
2020-06-19,5600,5650,5545,5575,109989500
2020-06-22,5595,5660,5530,5540,51590500
2020-06-23,5570,5660,5520,5620,69954000
2020-06-24,5650,5760,5640,5705,57333000
2020-06-25,5700,5745,5640,5725,51415000
2020-06-26,5720,5760,5640,5645,57467500
2020-06-29,5640,5695,5585,5675,48796500
2020-06-30,5700,5740,5660,5695,74474000
2020-07-01,5700,5800,5675,5800,63959000
2020-07-02,5775,5870,5760,5870,75585500
2020-07-03,5870,5905,5840,5870,52219000
2020-07-06,5860,5935,5850,5935,67800000
2020-07-07,5940,5995,5900,5990,74168000
2020-07-08,5990,6265,5980,6200,106444500
2020-07-09,6210,6240,6030,6100,93543500
2020-07-10,6100,6240,6080,6200,67224000
2020-07-13,6230,6240,6140,6175,86006000
2020-07-14,6175,6200,6110,6200,45616500
2020-07-15,6200,6240,6150,6150,61468000
2020-07-16,6150,6200,6140,6180,66520500
2020-07-17,6135,6180,6040,6120,73348000
2020-07-20,6120,6160,6060,6140,59794500
2020-07-21,6100,6235,6100,6200,84159500
2020-07-22,6210,6250,6130,6180,44725500
2020-07-23,6180,6215,6140,6200,84026500
2020-07-24,6200,6200,6100,6100,58366500
2020-07-27,6100,6140,6000,6100,41972500
2020-07-28,6120,6200,6060,6185,65279000
2020-07-29,6185,6185,6100,6135,50262500
2020-07-30,6135,6240,6055,6240,80533500
2020-08-03,6220,6235,5825,6130,137079000
2020-08-04,6155,6220,6130,6210,79357000
2020-08-05,6200,6220,6100,6205,49393000
2020-08-06,6215,6295,6185,6260,55258500
2020-08-07,6265,6285,6160,6180,43621000
2020-08-10,6180,6200,6105,6120,37774500
2020-08-11,6140,6200,6130,6175,38795500
2020-08-12,6175,6260,6160,6260,35612000
2020-08-13,6260,6300,6180,6300,48581000
2020-08-14,6300,6405,6240,6405,57316000
2020-08-18,6405,6425,6300,6360,81563500
2020-08-19,6360,6410,6310,6330,58793500
2020-08-24,6340,6380,6280,6315,66882500
2020-08-25,6320,6380,6305,6365,49211000
2020-08-26,6385,6390,6305,6340,42983000
2020-08-27,6365,6600,6340,6600,68326000
2020-08-28,6560,6600,6425,6495,52292500
2020-08-31,6500,6540,6275,6275,97032000
2020-09-01,6280,6520,6240,6520,67446000
2020-09-02,6520,6560,6365,6435,66065000
2020-09-03,6465,6500,6300,6500,68208500
2020-09-04,6450,6450,6265,6380,80613500
2020-09-07,6335,6360,6200,6285,64249500
2020-09-08,6285,6360,6285,6335,39649000
2020-09-09,6300,6320,6210,6245,49285000
2020-09-10,6220,6220,5810,5810,175735000
2020-09-11,5800,5975,5620,5905,403032500
2020-09-14,6000,6115,5985,6050,138115000
2020-09-15,6040,6100,5860,5860,170087000
2020-09-16,5860,5870,5745,5750,158565500
2020-09-17,5750,5855,5665,5755,138796000
2020-09-18,5700,5735,5570,5630,316912000
2020-09-21,5640,5735,5595,5605,112443000
2020-09-22,5520,5565,5430,5450,163442500
2020-09-23,5450,5585,5425,5505,100517000
2020-09-24,5430,5535,5390,5445,88618500
2020-09-25,5480,5625,5460,5610,100705000
2020-09-28,5650,5695,5500,5515,93522000
2020-09-29,5575,5635,5460,5505,117778500
2020-09-30,5565,5565,5420,5420,107377000
2020-10-01,5485,5570,5480,5570,56893000
2020-10-02,5560,5565,5440,5505,66848000
2020-10-05,5515,5560,5460,5520,58291000
2020-10-06,5630,5715,5600,5700,141955500
2020-10-07,5600,5755,5580,5755,89937500
2020-10-08,5790,5800,5710,5780,77384500
2020-10-09,5750,5775,5720,5775,54250500
2020-10-12,5840,5875,5830,5855,82918500
2020-10-13,5840,5860,5770,5855,48250500
2020-10-14,5840,5900,5810,5900,83117500
2020-10-15,5875,5880,5760,5785,82067000
2020-10-16,5785,5790,5730,5760,89051500
2020-10-19,5750,5900,5710,5900,56871500
2020-10-20,5880,5880,5785,5805,74995500
2020-10-21,5860,5865,5730,5780,77944000
2020-10-22,5740,5800,5705,5800,96872500
2020-10-23,5840,5840,5750,5770,66328000
2020-10-26,5725,5835,5725,5815,70452500
2020-10-27,5815,5830,5755,5790,89482000
2020-11-02,5760,5825,5720,5820,151006500
2020-11-03,5840,5895,5835,5890,78152000
2020-11-04,5900,5940,5785,5820,78626000
2020-11-05,5900,6180,5900,6150,161090000
2020-11-06,6160,6300,6060,6300,137303500
2020-11-09,6300,6400,6215,6285,82739500
2020-11-10,6395,6600,6380,6480,191073500
2020-11-11,6540,6565,6480,6540,131383500
2020-11-12,6410,6495,6405,6420,83082500
2020-11-13,6420,6450,6320,6390,82374500
2020-11-16,6485,6485,6385,6480,54905000
2020-11-17,6500,6565,6490,6550,119784000
2020-11-18,6550,6575,6540,6570,99789000
2020-11-19,6520,6640,6515,6615,147346500
2020-11-20,6640,6650,6550,6600,68468500
2020-11-23,6600,6610,6550,6600,75265500
2020-11-24,6600,6600,6545,6565,72349500
2020-11-25,6580,6585,6380,6410,170140500
2020-11-26,6350,6490,6300,6480,64339000
2020-11-27,6480,6490,6380,6385,87361500
2020-11-30,6385,6400,6135,6205,393091500
2020-12-01,6220,6435,6220,6395,114563500
2020-12-02,6460,6485,6340,6450,93897500
2020-12-03,6500,6525,6425,6460,98210000
2020-12-04,6460,6465,6360,6390,64995500
2020-12-07,6500,6580,6480,6520,96636000
2020-12-08,6520,6520,6425,6490,70561500
2020-12-10,6590,6600,6540,6575,151420500
2020-12-11,6600,6780,6595,6735,214160000
2020-12-14,6800,6830,6795,6820,179785500
2020-12-15,6830,6900,6605,6790,164024500
2020-12-16,6860,6950,6840,6950,138674000
2020-12-17,6965,7000,6820,6935,91920000
2020-12-18,6935,6935,6755,6800,147238500
2020-12-21,6890,6890,6800,6830,93692500
2020-12-22,6740,6820,6710,6715,61790500
2020-12-23,6905,6905,6620,6725,76948000
2020-12-28,6790,6820,6660,6780,60234000
2020-12-29,6775,6810,6740,6765,34212500
2020-12-30,6800,6800,6700,6770,52675500
2021-01-04,6800,6855,6720,6835,47937000
2021-01-05,6860,7090,6850,7090,104831000
2021-01-06,7050,7075,6880,6945,89753500
2021-01-07,7000,7050,6910,6965,71360000
2021-01-08,7035,7080,6975,7050,75033500
2021-01-11,7150,7360,7145,7345,169034500
2021-01-12,7345,7380,7160,7160,95235000
2021-01-13,7245,7275,7070,7120,76581500
